"DEPARTMENTID","DEPARTMENTNAME","BUILDINGNAME","FLOOR","PHONE","TOTALBEDS","OCCUPIEDBEDS","HEADOFDEPARTMENT"
"1","Rheumatology","Building C","10","024112129","90","72","James Johnson"
"2","Orthopedics","Building B","8","028352724","55","45","Alice Johnson"
"3","Dermatology","Building B","4","029431772","95","47","David Williams"
"4","Emerg Med","Building D","8","021889524","44","23","Michael Taylor"
"5","Pediatrics","Building D","5","022556550","60","46","James Smith"
"6","Neurology","Building B","1","029125932","51","41","James Brown"
"7","Geriatrics","Building E","6","029612733","83","52","Alice Jones"
"8","Surgery","Building B","9","021205064","92","83","James Moore"
"9","Urology","Building D","3","026340539","65","62","Jane Wilson"
"10","Orthopedics","Building D","9","026389125","92","86","John Johnson"
"11","Endocrinol","Building A","9","027986150","93","83","David Moore"
"12","Gastroentero","Building B","6","020582252","39","32","Michael Davis"
"13","Obstetrics","Building D","8","027135961","76","76","Linda Jones"
"14","Infect Dis","Building A","10","027637260","60","39","Robert Brown"
"15","Cardiology","Building B","7","028126340","83","73","Jane Miller"
"16","Nephrology","Building A","5","022687927","27","14","David Moore"
"17","Pediatrics","Building C","7","029514889","72","62","James Jones"
"18","Geriatrics","Building D","10","024643410","60","30","Emily Johnson"
"19","Urology","Building C","8","023632522","53","38","Alice Smith"
"20","Rheumatology","Building C","7","029091931","88","81","Emily Wilson"
"21","Geriatrics","Building E","1","023696554","79","0","Alice Davis"
"22","Dermatology","Building D","5","027686578","26","0","David Wilson"
"23","Surgery","Building A","6","023972007","98","0","David Brown"
"24","Orthopedics","Building B","9","024108695","66","0","Sara Brown"
"25","Gastroentero","Building E","6","029899929","53","0","James Brown"
"26","Cardiology","Building D","3","023078928","70","0","Sara Davis"
"27","Pulmonology","Building D","2","029839139","64","0","David Johnson"
"28","Dermatology","Building D","9","029263080","79","0","Jane Moore"
"29","Surgery","Building E","2","023744645","90","0","Linda Moore"
"30","Rheumatology","Building D","4","020716373","86","0","Emily Wilson"
"31","Geriatrics","Building E","3","021336973","79","0","Jane Davis"
"32","Pediatrics","Building E","6","020301530","84","0","Linda Brown"
"33","Obstetrics","Building D","2","024694210","67","0","John Moore"
"34","Surgery","Building A","6","029918186","71","0","Linda Brown"
"35","Surgery","Building B","8","023691640","60","0","Michael Wilson"
"36","Gastroentero","Building D","2","023000321","86","0","David Brown"
"37","Gastroentero","Building C","7","021463664","90","0","Robert Miller"
"38","Geriatrics","Building D","3","028144692","91","0","Michael Johnson"
"39","Infect Dis","Building D","10","026804739","56","0","John Brown"
"40","Orthopedics","Building A","8","025716740","42","0","David Wilson"
"41","Neurology","Building E","7","024751619","98","0","Linda Miller"
"42","Ophthalmology","Building B","4","024973311","79","0","Alice Jones"
"43","Ophthalmology","Building A","6","020364983","48","0","Robert Davis"
"44","Endocrinol","Building E","4","020942924","67","0","Jane Jones"
"45","Emerg Med","Building D","4","022819008","96","0","Robert Smith"
"46","Dermatology","Building E","5","027562015","80","0","Emily Miller"
"47","Cardiology","Building B","7","024542029","81","0","Jane Smith"
"48","Pediatrics","Building C","10","026534918","25","0","Robert Wilson"
"49","Cardiology","Building E","2","022843576","56","0","Michael Davis"
"50","Emerg Med","Building C","6","026050014","63","0","John Jones"
"51","Rheumatology","Building E","4","022799405","76","0","James Jones"
"52","Endocrinol","Building D","2","024573868","79","0","David Wilson"
"53","Endocrinol","Building C","2","021859659","80","0","Sara Brown"
"54","Rheumatology","Building E","2","026295957","84","0","Michael Jones"
"55","Rheumatology","Building A","8","028561580","56","0","Sara Taylor"
"56","Rheumatology","Building B","5","029552368","79","0","David Brown"
"57","Emerg Med","Building E","6","024694704","72","0","Michael William"
"58","Endocrinol","Building D","5","025811322","95","0","James Miller"
"59","Cardiology","Building C","1","027149807","99","0","James Miller"
"60","Dermatology","Building E","10","027419805","26","0","Michael Smith"
"61","Dermatology","Building D","1","023631652","50","0","Alice Smith"
"62","Pediatrics","Building D","3","021464231","65","0","John Moore"
"63","Gen Medicine","Building D","10","026973376","93","0","Robert Taylor"
"64","Rheumatology","Building A","4","021915740","28","0","David Jones"
"65","Psychiatry","Building B","1","021289899","45","0","Sara Jones"
"66","Surgery","Building B","8","028266367","24","0","James Johnson"
"67","Gen Medicine","Building C","8","029834340","54","0","John Moore"
"68","Gen Medicine","Building D","9","028520494","54","0","Jane Taylor"
"69","Gastroentero","Building D","3","023309780","52","0","Sara Smith"
"70","Emerg Med","Building C","8","023198511","52","0","Jane Taylor"
"71","Gastroentero","Building C","6","023544860","55","0","James Brown"
"72","Rheumatology","Building C","4","022063542","53","0","Emily Johnson"
"73","Nephrology","Building B","5","027225926","95","0","Emily Brown"
"74","Psychiatry","Building B","8","026050767","70","0","Jane Miller"
"75","Oncology","Building A","1","026506120","98","0","Jane Moore"
"76","Endocrinol","Building C","5","022121092","39","0","John Moore"
"77","Psychiatry","Building D","2","027375141","30","0","Linda Williams"
"78","Rheumatology","Building C","10","024462048","53","0","Michael Moore"
"79","Cardiology","Building E","9","027426219","43","0","Robert Williams"
"80","Obstetrics","Building A","10","024250553","93","0","Sara Wilson"
"81","Orthopedics","Building A","10","027718137","42","0","Sara Davis"
"82","Gastroentero","Building B","6","026447698","87","0","Linda Smith"
"83","Cardiology","Building A","6","022130352","91","0","Sara Wilson"
"84","Gastroentero","Building D","9","023149386","79","0","John Moore"
"85","Gen Medicine","Building C","7","023848796","68","0","David Brown"
"86","Orthopedics","Building B","7","028884020","100","0","Sara Jones"
"87","Infect Dis","Building D","6","025066590","60","0","Linda Brown"
"88","Gastroentero","Building D","2","022183802","96","0","Jane Wilson"
"89","Geriatrics","Building E","1","028297660","92","0","Jane Brown"
"90","Endocrinol","Building A","9","023560620","96","0","Linda Miller"
"91","Emerg Med","Building D","2","025794553","98","0","Alice Smith"
"92","Cardiology","Building E","8","022507944","68","0","Michael Taylor"
"93","Cardiology","Building D","10","029975971","100","0","Linda Smith"
"94","Obstetrics","Building A","1","027796032","23","0","Alice Jones"
"95","Cardiology","Building E","4","022862253","85","0","Alice Brown"
"96","Geriatrics","Building A","1","024027753","89","0","Michael Miller"
"97","Ophthalmology","Building C","6","021502260","24","0","Michael Brown"
"98","Emerg Med","Building D","6","027141766","63","0","Alice Williams"
"99","Geriatrics","Building C","9","025454952","29","0","Emily Taylor"
"100","Obstetrics","Building A","5","028513825","49","0","David Williams"
"101","Cardiology","Building E","6","021500305","49","0","Michael Jones"
"102","Psychiatry","Building B","10","029055971","83","0","Michael Brown"
"103","Pediatrics","Building B","8","023189701","30","0","Alice Taylor"
"104","Surgery","Building C","2","020608086","49","0","Alice Williams"
"105","Emerg Med","Building D","1","022427469","69","0","John Smith"
"106","Infect Dis","Building D","10","021210207","30","0","Alice Moore"
"107","Urology","Building B","4","027867254","58","0","Alice Williams"
"108","Surgery","Building C","8","020727612","66","0","Sara Wilson"
"109","Obstetrics","Building A","2","024120600","96","0","Michael Moore"
"110","Infect Dis","Building E","1","020327173","54","0","James Wilson"
"111","Pulmonology","Building C","9","020001004","91","0","John Smith"
"112","Psychiatry","Building D","5","025528290","39","0","David Moore"
"113","Pediatrics","Building E","2","023270126","42","0","Michael Brown"
"114","Obstetrics","Building B","2","023887445","68","0","Alice Jones"
"115","Emerg Med","Building A","1","028189617","98","0","Linda Johnson"
"116","Nephrology","Building C","2","027026603","31","0","James Miller"
"117","Dermatology","Building C","7","026931388","99","0","Alice Miller"
"118","Urology","Building D","4","029049588","84","0","Robert Johnson"
"119","Gastroentero","Building E","7","021356792","68","0","John Brown"
"120","Pediatrics","Building A","3","029614544","64","0","James Moore"
"121","Neurology","Building B","6","021020408","94","0","Jane Johnson"
"122","Gen Medicine","Building A","8","025343192","96","0","Linda Smith"
"123","Cardiology","Building E","5","020566921","68","0","Michael William"
"124","Pulmonology","Building C","6","021838629","43","0","Alice Williams"
"125","Urology","Building A","6","027553406","77","0","David Davis"
"126","Oncology","Building B","7","024646546","36","0","John Moore"
"127","Emerg Med","Building B","1","023741020","55","0","Sara Moore"
"128","Gen Medicine","Building D","6","026703483","100","0","John Jones"
"129","Gastroentero","Building B","9","024703390","32","0","Emily Brown"
"130","Psychiatry","Building C","10","023056259","37","0","John Taylor"
"131","Emerg Med","Building D","9","020176648","55","0","Emily Moore"
"132","Obstetrics","Building A","5","022725859","97","0","Jane Jones"
"133","Dermatology","Building D","1","021052559","65","0","Emily Williams"
"134","Dermatology","Building D","5","027987302","67","0","Linda Jones"
